Item ID,Title,Category ID 1,Category Name 1,Category ID 2,Category Name 2,Category ID 3,Category Name 3,Category ID 4,Category Name 4,Price,Currency,Original Price,Discount %,Seller Name,Seller Feedback %,Seller Feedback Score,Condition,Shipping Cost,Product URL,Item Location,Item Listing Date,Main Image,Thumbnail Image
v1|134605352068|434533580723,"Crocs Men's and Women's Shoes - Bayaband Clogs, Slip On Water Shoes",15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,39.99,USD,59.99,33,crocsoutlet,99.1,191448,New with box,0,https://www.ebay.com/itm/134605352068?_skw=Men%27s+shoes&hash=item1f571aac84:g:yfEAAOSwpGJmlYwJ&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5Ub2%2B%2FjHlIw2%2BR257AwDx2klnF%2Flo1gJmn0NJIgswFmBQO53a%2FO8mglCeVUqS9z97YtO8lemPq1DohatJgvdjXjzqsG5UAHqSxS2pRgwZmlUEVG09xrDyuV0TQqt8QsLXsFPxz%2BwXMfj%2B7z20Q6yxzwE17PGwXPCwYRlBAtRWOnF7VQU%2BqdUsTJguIueb0GXb0Y7qhjgkM9T74Q0Zbit9wnph%2BN0FHTO8jLZnKwnCHNxYytwyEBLdSNUaytglBCnhRXl1EckPtA9RWWMO300ycBj,US,2023-06-09T08:09:57.000Z,https://i.ebayimg.com/images/g/yfEAAOSwpGJmlYwJ/s-l225.jpg,https://i.ebayimg.com/images/g/yfEAAOSwpGJmlYwJ/s-l1200.jpg
v1|284959012013|586757674432,PUMA Men's Contempt Demi Training Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,46.99,USD,70,33,officialpumastore,98.5,360142,New with box,0,https://www.ebay.com/itm/284959012013?_skw=Men%27s+shoes&hash=item4258e174ad:g:eAAAAOSwkMJkiBLs&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UbhGa060vg3JcjKaHTTHkG9vi21vRegBz4LtOafP06lCJAnvSZhBdS8Pfp5yRCDKgUbHh6OKDY5kimMJGxkWiJq%2BrqXFBbstKXBm5TCzAEmq95nMo2IYy8vbGdjUcTr2yBHukNF63%2FsC%2B0pDOQeGAPByDTg9lQ%2FWZQUKzdBNt1O5YDyjs52cZ1deZxObR9KPSHV581UWJGyIGA5tdGNLI5E5fwlL61qieDxxhorsIkcbITMSdCOEbN9KIbSYHM%2BJgBjQi0QM%2F64%2BU5VAXz%2B%2FUco,US,2022-09-07T22:58:23.000Z,https://i.ebayimg.com/images/g/eAAAAOSwkMJkiBLs/s-l225.jpg,https://i.ebayimg.com/images/g/eAAAAOSwkMJkiBLs/s-l1600.jpg
v1|134603886418|434292597154,"Crocs Men's and Women's Shoes - Baya Clogs, Slip On Shoes, Waterproof Sandals",15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,34.99,USD,49.99,30,crocsoutlet,99.1,191448,New with box,0,https://www.ebay.com/itm/134603886418?_skw=Men%27s+shoes&hash=item1f57044f52:g:XaEAAOSw3g1nQOXt&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5Ua6uJenAWUzN1JAobIrigZojG%2FY4BEsnGrJe%2BGQmXsmTpp82CQTLYTFgURhcLTxj15T9JW0YzhPHQh8%2FMgHO7fI4%2B%2BiwVlZ6WkT7sFAJA9iS44q9gvE%2BAryd38Ax2ABb%2BJqfU0W4NiiNm3bHkmlROaaRfbnYp%2FDad24TKP5KQLh2M%2FD35AkKPSUXh9Tr0eJH%2FWr0kRWj0P4%2FFGhpj%2BQG%2FRENrTAQ%2BONzU78ImXT7OBIS1zNmO9mXJQ0fLD1MFtqlD4rRpJyXLfAFzoiXptCxnAO,US,2023-06-08T05:19:48.000Z,https://i.ebayimg.com/images/g/XaEAAOSw3g1nQOXt/s-l225.jpg,https://i.ebayimg.com/images/g/XaEAAOSw3g1nQOXt/s-l1200.jpg
v1|156211936382|457237499038,adidas men Samoa Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,40,USD,80,50,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156211936382?_skw=Men%27s+shoes&hash=item245ef4fc7e:g:urUAAOSwarZmbbXA&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UZXCBv1TcL%2BqyG6DTrwaLxfnffyD%2Bmwrl%2FsMLQhN5peqPiRooQltvCXL9EMExk0J7PzU32C6r0VWDldc789ogUk2sVq4A3QdDA8tZkjtxXjiJ%2BObuxPXPp%2B5V%2BxbjRZzY9bsDaprP5fMTHuNApBcH22QShk0yX83MM1FaauqO2cyyrv8aXUuvHkKVVZ%2BOtYcJ9Olo91yBQDR10ORTDtPrzAR5ir2jYDHvIegjC8tFD6Ja19e%2FJLEEUIg7vDZ6bnh%2FMLNHm3W6umOlxM4nO7xwAT,US,2024-05-17T02:09:20.000Z,https://i.ebayimg.com/images/g/urUAAOSwarZmbbXA/s-l225.jpg,https://i.ebayimg.com/images/g/urUAAOSwarZmbbXA/s-l1600.jpg
v1|156642887335|458024928876,adidas men Racer TR23 Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,40,USD,80,50,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156642887335?_skw=Men%27s+shoes&hash=item2478a4c6a7:g:mRQAAeSwpEdnvKvu,US,2025-01-18T09:44:44.000Z,https://i.ebayimg.com/images/g/mRQAAeSwpEdnvKvu/s-l225.jpg,https://i.ebayimg.com/images/g/mRQAAeSwpEdnvKvu/s-l1600.jpg
v1|156658686765|458076300205,adidas men Pureboost 5 Running Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,72,USD,130,45,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156658686765?_skw=Men%27s+shoes&hash=item247995db2d:g:iQAAAOSwd~5nibs7,US,2025-01-27T18:46:43.000Z,https://i.ebayimg.com/images/g/iQAAAOSwd~5nibs7/s-l225.jpg,https://i.ebayimg.com/images/g/iQAAAOSwd~5nibs7/s-l1600.jpg
v1|286306723074|588447433919,PUMA Men's Voltaic Evo Fast Training Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,32.99,USD,80,59,officialpumastore,98.5,360142,New with box,0,https://www.ebay.com/itm/286306723074?_skw=Men%27s+shoes&hash=item42a935e502:g:gREAAeSwwt5npaG~,US,2025-02-07T06:00:24.000Z,https://i.ebayimg.com/images/g/gREAAeSwwt5npaG~/s-l225.jpg,https://i.ebayimg.com/images/g/gREAAeSwwt5npaG~/s-l225.jpg
v1|156475774764|457594689306,adidas men Racer TR23 Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,40,USD,80,50,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156475774764?_skw=Men%27s+shoes&hash=item246eaed72c:g:oDYAAeSwKq9nvKvX,US,2024-10-25T03:44:57.000Z,https://i.ebayimg.com/images/g/oDYAAeSwKq9nvKvX/s-l225.jpg,https://i.ebayimg.com/images/g/oDYAAeSwKq9nvKvX/s-l1600.jpg
v1|156720435883|458095918317,adidas men Puig Indoor Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,49,USD,75,35,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156720435883?_skw=Men%27s+shoes&hash=item247d4412ab:g:pQwAAeSwCRRnt3lg,US,2025-02-20T18:46:45.000Z,https://i.ebayimg.com/images/g/pQwAAeSwCRRnt3lg/s-l225.jpg,https://i.ebayimg.com/images/g/pQwAAeSwCRRnt3lg/s-l225.jpg
v1|156543511976|458097633827,adidas men Swift Run Shoes,15709,Athletic Shoes,11450,"Clothing, Shoes & Accessories",93427,Men's Shoes,260012,Men,50,USD,100,50,adidas_official,98.2,552486,New with box,0,https://www.ebay.com/itm/156543511976?_skw=Men%27s+shoes&hash=item2472b86da8:g:lpUAAeSwDOZnvKxR,US,2024-11-26T02:02:51.000Z,https://i.ebayimg.com/images/g/lpUAAeSwDOZnvKxR/s-l225.jpg,https://i.ebayimg.com/images/g/lpUAAeSwDOZnvKxR/s-l225.jpg
